datetime,count
1/20/2011 0:00,13.25109489
1/20/2011 1:00,13.29781022
1/20/2011 2:00,13.29781022
1/20/2011 3:00,13.25109489
1/20/2011 4:00,12.94452555
1/20/2011 5:00,1.013138686
1/20/2011 6:00,1
1/20/2011 7:00,1
1/20/2011 8:00,1
1/20/2011 9:00,1
1/20/2011 10:00,1
1/20/2011 11:00,1
1/20/2011 12:00,1
1/20/2011 13:00,1
1/20/2011 14:00,1
1/20/2011 15:00,1
1/20/2011 16:00,1
1/20/2011 17:00,1
1/20/2011 18:00,1
1/20/2011 19:00,1.013138686
1/20/2011 20:00,12.94452555
1/20/2011 21:00,13.25109489
1/20/2011 22:00,13.25109489
1/20/2011 23:00,13.25109489
1/21/2011 0:00,13.25109489
1/21/2011 1:00,13.25109489
1/21/2011 2:00,13.25109489
1/21/2011 3:00,13.25109489
1/21/2011 4:00,12.94452555
1/21/2011 5:00,1.013138686
1/21/2011 6:00,1
1/21/2011 7:00,1
1/21/2011 8:00,1
1/21/2011 9:00,1
1/21/2011 10:00,1
1/21/2011 11:00,1
1/21/2011 12:00,1
1/21/2011 13:00,1
1/21/2011 14:00,1
1/21/2011 15:00,1
1/21/2011 16:00,1
1/21/2011 17:00,1
1/21/2011 18:00,1
1/21/2011 19:00,1.013138686
1/21/2011 20:00,12.94452555
1/21/2011 21:00,13.25109489
1/21/2011 22:00,13.25109489
1/21/2011 23:00,13.25109489
1/22/2011 0:00,13.25109489
1/22/2011 1:00,13.25109489
1/22/2011 2:00,13.25109489
1/22/2011 3:00,13.25109489
1/22/2011 4:00,12.94452555
1/22/2011 6:00,1
1/22/2011 7:00,1
1/22/2011 8:00,1
1/22/2011 9:00,1
1/22/2011 10:00,1
1/22/2011 11:00,1
1/22/2011 12:00,1
1/22/2011 13:00,1
1/22/2011 14:00,1
1/22/2011 15:00,1
1/22/2011 16:00,1
1/22/2011 17:00,1
1/22/2011 18:00,1
1/22/2011 19:00,1.013138686
1/22/2011 20:00,12.94452555
1/22/2011 21:00,13.25109489
1/22/2011 22:00,13.29781022
1/22/2011 23:00,13.25109489
1/23/2011 0:00,13.25109489
1/23/2011 1:00,13.25109489
1/23/2011 2:00,13.25109489
1/23/2011 3:00,13.25109489
1/23/2011 5:00,1.013138686
1/23/2011 6:00,1
1/23/2011 7:00,1
1/23/2011 8:00,1
1/23/2011 9:00,1
1/23/2011 10:00,1
1/23/2011 11:00,1
1/23/2011 12:00,1
1/23/2011 13:00,1
1/23/2011 14:00,1
1/23/2011 15:00,1
1/23/2011 16:00,1
1/23/2011 17:00,1
1/23/2011 18:00,1
1/23/2011 19:00,1.013138686
1/23/2011 20:00,12.94452555
1/23/2011 21:00,13.25109489
1/23/2011 22:00,13.25109489
1/23/2011 23:00,13.25109489
1/24/2011 0:00,13.25109489
1/24/2011 1:00,13.25109489
1/24/2011 3:00,13.25109489
1/24/2011 4:00,12.94452555
1/24/2011 5:00,1.013138686
1/24/2011 6:00,1
1/24/2011 7:00,1
1/24/2011 8:00,1
1/24/2011 9:00,1
1/24/2011 10:00,1
1/24/2011 11:00,1
1/24/2011 12:00,1
1/24/2011 13:00,1
1/24/2011 14:00,1
1/24/2011 15:00,1
1/24/2011 16:00,1
1/24/2011 17:00,1
1/24/2011 18:00,1
1/24/2011 19:00,1.013138686
1/24/2011 20:00,12.94452555
1/24/2011 21:00,13.25109489
